currency,year,exchange_rate_to_one_sgd
CNY,2020,5.0012025032947
ALL,2020,78.13008848035453
ETB,2020,25.301689279163618
LAK,2020,6519.909549100512
MDL,2020,12.455900401386398
QAR,2020,2.608944224640404
YER,2020,182.5679041746782
FJD,2021,1.5395774871209587
GBP,2021,0.5411665870930571
GHS,2021,4.407341488435532
HTG,2021,66.77164135969885
IDR,2021,10650.017334343444
INR,2021,55.00660324252841
TWD,2021,20.77256916997138
AOA,2022,334.40947553648397
BSD,2022,0.725683704058527
CAD,2022,0.9443567734609659
KZT,2022,334.74315168907896
LRD,2023,128.19756960377728
KES,2023,102.20155535407521
SZL,2023,13.69266378750326
VND,2023,17674.1066144029
STN,2023,16.930426507707967
IMP,2023,0.5998866733127526
ETB,2023,40.58037376454355
NAD,2023,13.733974777583743
ZAR,2010,5.363439238290269
IRR,2010,7265.504518350963
MAD,2010,6.111235382903849
MUR,2010,21.816137368112397
EEK,2011,9.131899883090329
LVL,2011,0.4027223543347364
ANG,2011,1.3799399723877865
ARS,2011,3.281535745357742
BBD,2011,1.5610695994298567
BIF,2011,969.0790210669159
CRC,2011,392.3012877917594
ISK,2011,141.11507208887673
KWD,2011,0.21838436388803348
SDG,2011,2.0908776995796194
SYP,2011,37.59100804512933
TND,2011,1.1142932247453468
RON,2012,2.7697718047349333
ILS,2012,3.085001401998217
PHP,2012,33.66041409241784
ALL,2012,85.06532409222535
BND,2012,0.9848251524732532
DZD,2012,61.80766748566611
FJD,2012,1.4213804286041196
KES,2012,66.43314601493226
KZT,2012,117.51562142082123
LBP,2012,1170.7250205042571
NAD,2012,6.4379301290697555
AFN,2013,42.75712482688122
ALL,2013,82.99267150675512
BWP,2013,6.6135662672174895
GMD,2013,26.533470355252316
TWD,2013,23.129443289135306
UAH,2013,6.434624887572274
VND,2013,16568.21463566099
JPY,2014,83.5151553778818
CZK,2014,16.366820077463526
AED,2014,2.89680650020229
CUP,2014,0.7720308354433454
LYD,2014,0.9482607003800698
MGA,2014,1929.4849239472603
RWF,2014,531.7977295687759
TZS,2014,1284.9283106695962
CZK,2015,17.887870578559316
DKK,2015,4.892762554325109
RON,2015,2.914369517545434
NOK,2015,5.862460455229045
RUB,2015,44.16386374522508
KRW,2015,822.2632884846879
DOP,2015,32.23930696849223
DZD,2015,72.64101575512375
PEN,2015,2.2637674159638403
CZK,2016,17.693354291014387
PLN,2016,2.8539630566479706
SEK,2016,6.194849765675141
HKD,2016,5.6249858148639476
BSD,2016,0.7203532145682158
FJD,2016,1.49990385759575
MAD,2016,6.906552144753015
OMR,2016,0.27777168693770815
PYG,2016,4029.8716354676644
RUB,2017,42.19455256048159
CNY,2017,4.886699927769945
HKD,2017,5.645207076727131
BSD,2017,0.7196671727613677
LRD,2017,73.86216286234735
MOP,2017,5.68402346152987
NAD,2017,9.493234250404004
SLL,2017,5352.712875361177
SVC,2017,6.182190439955874
UYU,2017,20.36230908384407
AFN,2018,53.185246613482384
CRC,2018,418.79023897207037
MRO,2018,261.08697395987707
AFN,2019,56.604599636970406
CVE,2019,72.15447975572214
LAK,2019,6224.195712270887
MMK,2019,1102.0780868136158
MWK,2019,530.534885523429
DKK,2020,4.740356069494846
GBP,2020,0.565176204288084
CHF,2020,0.6806067819172833
BSD,2020,0.7238372051595096
CVE,2020,70.29706519566302
LSL,2020,11.86099941924815
MAD,2020,6.809360237617686
UYU,2020,30.297673045798057
UZS,2020,7287.604245463344
AOA,2020,446.4648416270184
ERN,2020,10.940253653133613
SSP,2020,94.99616803264044
AED,2021,2.7333298659503016
BBD,2021,1.488366407742402
BYN,2021,1.8890210372588447
